,analysis_sample_rate,audio_md5,danceability,duration,end_of_fade_in,energy,idx_bars_confidence,idx_bars_start,idx_beats_confidence,idx_beats_start,idx_sections_confidence,idx_sections_start,idx_segments_confidence,idx_segments_loudness_max,idx_segments_loudness_max_time,idx_segments_loudness_start,idx_segments_pitches,idx_segments_start,idx_segments_timbre,idx_tatums_confidence,idx_tatums_start,key,key_confidence,loudness,mode,mode_confidence,start_of_fade_out,tempo,time_signature,time_signature_confidence,track_id,analyzer_version,artist_7digitalid,artist_familiarity,artist_hotttnesss,artist_id,artist_latitude,artist_location,artist_longitude,artist_mbid,artist_name,artist_playmeid,genre,idx_artist_terms,idx_similar_artists,release,release_7digitalid,song_hotttnesss,song_id,title,track_7digitalid,idx_artist_mbtags,year
0,22050,aee9820911781c734e7694c5432990ca,0.0,252.05506,2.049,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.777,-4.829,0,0.688,236.635,87.002,4,0.94,TRMMMYQ128F932D901,,4069,0.649822100201,0.394031892714,ARYZTJS1187B98C555,,,,357ff05d-848a-44cf-b608-cb34b5701ae5,Faster Pussy cat,44895,,0,0,Monster Ballads X-Mas,633681,0.542898743291,SOQMMHC12AB0180CB8,Silent Night,7032331,0,2003
1,22050,ed222d07c83bac7689d52753610a513a,0.0,156.55138,0.258,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0.808,-10.555,1,0.355,148.66,150.778,1,0.0,TRMMMKD128F425225D,,113480,0.439603966677,0.356992107756,ARMVN3U1187FB3A1EB,,,,8d7ef530-a6fd-4f8f-b2e2-74aec765e0f9,Karkkiautomaatti,-1,,0,0,Karkuteillä,145266,0.299877488274,SOVFVAK12A8C1350D9,Tanssi vaan,1514808,0,1995
2,22050,96c7104889a128fef84fa469d60e380c,0.0,138.97098,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.418,-2.06,1,0.566,138.971,177.768,4,0.446,TRMMMRX128F93187D9,,63531,0.643680572058,0.437503836595,ARGEKB01187FB50750,55.8578,"Glasgow, Scotland",-4.24251,3d403d44-36ce-465c-ad43-ae877e65adc4,Hudson Mohawke,-1,,0,0,Butter,625706,0.617870969395,SOGTUKN12AB017F4F1,No One Could Ever,6945353,0,2006
3,22050,0f7da84b6b583e3846c7e022fb3a92a2,0.0,145.05751,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.125,-4.654,1,0.451,138.687,87.433,4,0.0,TRMMMCH128F425532C,,65051,0.448501159656,0.372349068517,ARNWYLR1187B9B2F9C,,,,12be7648-7094-495f-90e6-df4189d68615,Yerba Brava,34000,,0,0,De Culo,199368,,SOBNYVR12A8C13558C,Si Vos Querés,2168257,0,2003
4,22050,228dd6392ad8001b0281f533f34c72fd,0.0,514.29832,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.097,-7.806,0,0.29,506.717,140.035,4,0.315,TRMMMWA128F426B589,,158279,0.0,0.0,AREQDTE1269FB37231,,,,,Der Mystic,-1,,0,0,Rene Ablaze Presents Winter Sessions,209038,,SOHSBXH12A8C13B0DF,Tangle Of Aspens,2264873,0,0
5,22050,001717032b7105ee4de70f67bf7fba3e,0.0,816.53506,2.194,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.419,-21.42,1,0.581,811.799,90.689,4,0.158,TRMMMXN128F42936A5,,219281,0.361286979628,0.109625847059,AR2NS5Y1187FB5879D,,,,d087b377-bab7-46c4-bd12-15debebb5d61,David Montgomery,-1,,0,0,Berwald: Symphonies Nos. 1/2/3/4,299244,,SOZVAPQ12A8C13B63C,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia",3360982,0,0
6,22050,eb4f5cb71ff1e50a279d1872929cf6b4,0.0,212.37506,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.611,-4.931,0,0.627,206.629,101.45,1,0.96,TRMMMLR128F1494097,,3736,0.692922730576,0.453731585999,ARO41T51187FB397AB,,"Mexico City, Mexico",,d2461c0a-5575-4425-a225-fce0180de3fd,Sasha / Turbulence,1396,,0,0,Strictly The Best Vol. 34,52968,,SOQVRHI12A6D4FB2D7,We Have Got Love,552626,0,0
7,22050,c5eaa27a919d3403cb12745056de0b21,0.0,221.20444,0.165,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0.332,-12.214,0,0.35,212.12,98.02,4,0.982,TRMMMBB12903CB7D21,,49941,0.588156187675,0.401092425177,AR3Z9WY1187FB4CDC2,,,,bf61e8ff-7621-4655-8ebd-68210645c5e9,Kris Kross,9594,,0,0,Da Bomb,580432,,SOEYRFT12AB018936C,2 Da Beat Ch'yall,6435649,0,1993
8,22050,801588bb617e8dfb92df0465619f6a2c,0.0,139.17995,0.171,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.537,-10.705,1,0.523,130.479,115.427,1,0.324,TRMMMHY12903CB53F1,,15202,0.408465463469,0.285901196045,ARA04401187B991E6E,54.99241,"Londonderry, Northern Ireland",-7.31923,1a9bf859-1dc2-495b-9e7c-289be7731a9f,Joseph Locke,61524,,0,0,Danny Boy,756677,,SOPMIYT12A6D4F851E,Goodbye,8376489,0,0
9,22050,766c396dfd07dc2cc956603f8efcb7d0,0.0,104.48934,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0.668,-20.16,0,0.48,104.489,124.339,4,1.0,TRMMMML128F4280EE9,,76721,0.41994127477,0.24913722954,ARCVMYS12454A51E6E,,,,,The Sun Harbor's Chorus-Documentary Recordings,50151,,0,0,March to cadence with the US marines,95069,,SOJCFMH12A8C13B0C2,Mama_ mama can't you see ?,1043208,0,0
10,22050,b2a5d78fda7fcc358a28124307c8d218,0.0,68.96281,0.363,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.05,-11.072,1,0.59,68.963,62.294,4,0.425,TRMMMNS128F93548E1,,483188,0.555013966104,0.352948913868,AR59BSJ1187FB4474F,,,,891fccfc-24c1-4bfd-bf49-c736e59e443f,3 Gars Su'l Sofa,-1,,0,0,Des cobras des tarentules,649271,,SOYGNWH12AB018191E,L'antarctique,7192392,0,2007
11,22050,f80961f31e87fd96496a6055af037f1f,0.0,168.22812,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0.853,-10.418,1,0.656,165.413,87.319,3,0.953,TRMMMXJ12903CBF111,,182764,0.541389764483,0.369096249987,ARCVIFR1187B99129F,21.01841,"Guanajuato, Guanajuato, Mexico",-101.25912,ec57c22f-9bb7-48ab-aa85-dab108a71b53,Jorge Negrete,16768,,0,0,32 Grandes Éxitos  CD 2,714860,,SOLJTLX12AB01890ED,El hijo del pueblo,7928975,0,1997
12,22050,3510d0c3bac6ed15aaab6876be4317a3,0.0,301.60934,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.45,-4.882,1,0.52,291.405,85.34,5,0.581,TRMMMCJ128F930BFF8,,165382,0.622005388118,0.451578962861,ARVIT0V1187B9A7CDE,,,,2eb02f8c-8dfa-49dc-a224-11051ec45a42,Danny Diablo,-1,,0,0,International Hardcore Superstar,620618,0.392008771471,SOQQESG12A58A7AA28,Cold Beer feat. Prince Metropolitan,6893903,0,0
13,22050,873d1d86b520c89ae05492b8f577afdd,0.0,318.45832,0.502,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0.764,-10.67,1,0.627,306.265,67.567,3,0.676,TRMMMBW128F4260CAE,,5823,0.621826485807,0.406984727155,AREMPER1187B9AEB42,,,,14efbb08-c3d8-404c-9ead-ad71fa586ee6,Tiger Lou,-1,,0,0,The Loyal,204414,0.463489662237,SOMPVQB12A8C1379BB,Pilots,2218694,0,2005
